Key,Value,,,
Full Name,Jane Doe,,,
Phone Number,555-0100,,,
Home Address,"123 Any Street, Any Town, USA",,,
Mailing Address,same as above,,,
,,,,
,,,,
,,,,
Previous Employment History,,,,
Start Date,End Date,Employer Name,Position Held,Reason for leaving
1/15/2009,6/30/2011,Any Company,Assistant baker,relocated
7/1/2011,8/10/2013,Example Corp.,Baker,better opp.
8/15/2013,Present,AnyCompany,head baker,"N/A, current"
,,,,
,,,,
,,,,
Paragraphs,,,,
Employment Application,,,,
Application Information,,,,
"Full Name: Jane Doe Phone Number: 555-0100 Home Address: 123 Any Street, Any Town, USA Mailing Address: same as above",,,,
Previous Employment History,,,,
Start Date,,,,
End Date,,,,
Employer Name,,,,
Position Held,,,,
Reason for leaving,,,,
1/15/2009,,,,
6/30/2011,,,,
Any Company,,,,
Assistant baker,,,,
relocated,,,,
7/1/2011,,,,
8/10/2013,,,,
Example Corp.,,,,
Baker,,,,
better opp.,,,,
8/15/2013,,,,
Present,,,,
AnyCompany,,,,
head baker,,,,
"N/A, current",,,,
